"#Some of the genomic variants, genes, nucleic acid sequences, or genomic regions on this list, and their use in specific applications, may be protected by patents.  Customers are advised to determine whether they are required to obtain licenses from the party that owns or controls such patents in order to use the product in Customer's specific application.  Unless expressly stated otherwise in writing by Illumina, Customer, and not Illumina, is solely responsible for obtaining such licenses."""					
#Project ID: 119538					
#Project Name: TS_Cancer_V2_Beta					
#Manifest Type: Regions					
#Target Region Count: 1895					
[Header]					
Manifest Version	2				
EPCAM.chr2.47596625.47596740	chr2	47596625	47596740	0	0
EPCAM.chr2.47600582.47600729	chr2	47600582	47600729	0	0
EPCAM.chr2.47600927.47601207	chr2	47600927	47601207	0	0
EPCAM.chr2.47602353.47602458	chr2	47602353	47602458	0	0
EPCAM.chr2.47604133.47604236	chr2	47604133	47604236	0	0
EPCAM.chr2.47606072.47606213	chr2	47606072	47606213	0	0
EPCAM.chr2.47606888.47607128	chr2	47606888	47607128	0	0
EPCAM.chr2.47612285.47612369	chr2	47612285	47612369	0	0
EPCAM.chr2.47613691.47613769	chr2	47613691	47613769	0	0
MSH2.chr2.47630311.47630561	chr2	47630311	47630561	0	0
MSH2.chr2.47635520.47635714	chr2	47635520	47635714	0	0
MSH2.chr2.47637213.47637531	chr2	47637213	47637531	0	0
MSH2.chr2.47639533.47639719	chr2	47639533	47639719	0	0
MSH2.chr2.47641388.47641577	chr2	47641388	47641577	0	0
MSH2.chr2.47643415.47643588	chr2	47643415	47643588	0	0
MSH2.chr2.47656861.47657100	chr2	47656861	47657100	0	0
MSH2.chr2.47672667.47672816	chr2	47672667	47672816	0	0
MSH2.chr2.47690150.47690313	chr2	47690150	47690313	0	0
MSH2.chr2.47693777.47693967	chr2	47693777	47693967	0	0
MSH2.chr2.47698084.47698221	chr2	47698084	47698221	0	0
MSH2.chr2.47702144.47702429	chr2	47702144	47702429	0	0
MSH2.chr2.47703486.47703730	chr2	47703486	47703730	0	0
MSH2.chr2.47705391.47705678	chr2	47705391	47705678	0	0
MSH2.chr2.47707815.47708030	chr2	47707815	47708030	0	0
MSH2.chr2.47709898.47710108	chr2	47709898	47710108	0	0
MSH6.chr2.48010353.48010652	chr2	48010353	48010652	0	0
MSH6.chr2.48018046.48018282	chr2	48018046	48018282	0	0
MSH6.chr2.48023013.48023222	chr2	48023013	48023222	0	0
MSH6.chr2.48025730.48028314	chr2	48025730	48028314	0	0
MSH6.chr2.48030539.48030844	chr2	48030539	48030844	0	0
MSH6.chr2.48032029.48032186	chr2	48032029	48032186	0	0
MSH6.chr2.48032737.48032866	chr2	48032737	48032866	0	0
MSH6.chr2.48033323.48033517	chr2	48033323	48033517	0	0
MSH6.chr2.48033571.48033810	chr2	48033571	48033810	0	0
MSH6.chr2.48033898.48034019	chr2	48033898	48034019	0	0
FANCL.chr2.58386883.58386955	chr2	58386883	58386955	0	0
FANCL.chr2.58387223.58387334	chr2	58387223	58387334	0	0
FANCL.chr2.58388637.58388793	chr2	58388637	58388793	0	0
FANCL.chr2.58389981.58390102	chr2	58389981	58390102	0	0
FANCL.chr2.58390144.58390229	chr2	58390144	58390229	0	0
FANCL.chr2.58390549.58390672	chr2	58390549	58390672	0	0
FANCL.chr2.58392839.58393029	chr2	58392839	58393029	0	0
FANCL.chr2.58425694.58425817	chr2	58425694	58425817	0	0
FANCL.chr2.58431245.58431381	chr2	58431245	58431381	0	0
FANCL.chr2.58449057.58449197	chr2	58449057	58449197	0	0
FANCL.chr2.58453843.58453939	chr2	58453843	58453939	0	0
FANCL.chr2.58456929.58457029	chr2	58456929	58457029	0	0
FANCL.chr2.58459169.58459267	chr2	58459169	58459267	0	0
FANCL.chr2.58468333.58468468	chr2	58468333	58468468	0	0
TMEM127.chr2.96919526.96919873	chr2	96919526	96919873	0	0
TMEM127.chr2.96920551.96920755	chr2	96920551	96920755	0	0
TMEM127.chr2.96930856.96931139	chr2	96930856	96931139	0	0
ERCC3.chr2.128015155.128015323	chr2	128015155	128015323	0	0
ERCC3.chr2.128016852.128017044	chr2	128016852	128017044	0	0
ERCC3.chr2.128018784.128018942	chr2	128018784	128018942	0	0
ERCC3.chr2.128028892.128029049	chr2	128028892	128029049	0	0
ERCC3.chr2.128030421.128030557	chr2	128030421	128030557	0	0
ERCC3.chr2.128036729.128036971	chr2	128036729	128036971	0	0
ERCC3.chr2.128038003.128038227	chr2	128038003	128038227	0	0
ERCC3.chr2.128044259.128044613	chr2	128044259	128044613	0	0
ERCC3.chr2.128046216.128046460	chr2	128046216	128046460	0	0
ERCC3.chr2.128046893.128047097	chr2	128046893	128047097	0	0
ERCC3.chr2.128047245.128047420	chr2	128047245	128047420	0	0
ERCC3.chr2.128047780.128047869	chr2	128047780	128047869	0	0
ERCC3.chr2.128050166.128050442	chr2	128050166	128050442	0	0
ERCC3.chr2.128051069.128051314	chr2	128051069	128051314	0	0
ERCC3.chr2.128051610.128051677	chr2	128051610	128051677	0	0
BARD1.chr2.215593383.215593752	chr2	215593383	215593752	0	0
BARD1.chr2.215595115.215595252	chr2	215595115	215595252	0	0
BARD1.chr2.215609771.215609903	chr2	215609771	215609903	0	0
BARD1.chr2.215610426.215610598	chr2	215610426	215610598	0	0
BARD1.chr2.215617151.215617299	chr2	215617151	215617299	0	0
BARD1.chr2.215632186.215632398	chr2	215632186	215632398	0	0
BARD1.chr2.215633936.215634056	chr2	215633936	215634056	0	0
BARD1.chr2.215645264.215646253	chr2	215645264	215646253	0	0
BARD1.chr2.215657001.215657189	chr2	215657001	215657189	0	0
BARD1.chr2.215661765.215661861	chr2	215661765	215661861	0	0
BARD1.chr2.215674116.215674313	chr2	215674116	215674313	0	0
DIS3L2.chr2.232879618.232879709	chr2	232879618	232879709	0	0
DIS3L2.chr2.232880204.232880401	chr2	232880204	232880401	0	0
DIS3L2.chr2.232888967.232889060	chr2	232888967	232889060	0	0
DIS3L2.chr2.232894669.232894810	chr2	232894669	232894810	0	0
DIS3L2.chr2.232952177.232952451	chr2	232952177	232952451	0	0
DIS3L2.chr2.232995309.232995494	chr2	232995309	232995494	0	0
DIS3L2.chr2.233001162.233001449	chr2	233001162	233001449	0	0
DIS3L2.chr2.233028149.233028362	chr2	233028149	233028362	0	0
DIS3L2.chr2.233075016.233075135	chr2	233075016	233075135	0	0
DIS3L2.chr2.233103223.233103375	chr2	233103223	233103375	0	0
DIS3L2.chr2.233113929.233114076	chr2	233113929	233114076	0	0
DIS3L2.chr2.233127897.233128170	chr2	233127897	233128170	0	0
DIS3L2.chr2.233164730.233164849	chr2	233164730	233164849	0	0
DIS3L2.chr2.233194503.233194726	chr2	233194503	233194726	0	0
DIS3L2.chr2.233195380.233195506	chr2	233195380	233195506	0	0
DIS3L2.chr2.233198530.233198717	chr2	233198530	233198717	0	0
DIS3L2.chr2.233199059.233199229	chr2	233199059	233199229	0	0
DIS3L2.chr2.233199321.233199465	chr2	233199321	233199465	0	0
DIS3L2.chr2.233200463.233200604	chr2	233200463	233200604	0	0
DIS3L2.chr2.233201159.233201357	chr2	233201159	233201357	0	0
DIS3L2.chr2.233208035.233208302	chr2	233208035	233208302	0	0
FANCD2.chr3.10070322.10070425	chr3	10070322	10070425	0	0
FANCD2.chr3.10074496.10074676	chr3	10074496	10074676	0	0
FANCD2.chr3.10076133.10076240	chr3	10076133	10076240	0	0
FANCD2.chr3.10076359.10076502	chr3	10076359	10076502	0	0
FANCD2.chr3.10076837.10076937	chr3	10076837	10076937	0	0
FANCD2.chr3.10077951.10078043	chr3	10077951	10078043	0	0
FANCD2.chr3.10080943.10081061	chr3	10080943	10081061	0	0
FANCD2.chr3.10081385.10081549	chr3	10081385	10081549	0	0
FANCD2.chr3.10083287.10083414	chr3	10083287	10083414	0	0
FANCD2.chr3.10084223.10084367	chr3	10084223	10084367	0	0
FANCD2.chr3.10084714.10084854	chr3	10084714	10084854	0	0
FANCD2.chr3.10085148.10085296	chr3	10085148	10085296	0	0
FANCD2.chr3.10085493.10085568	chr3	10085493	10085568	0	0
FANCD2.chr3.10088244.10088427	chr3	10088244	10088427	0	0
FANCD2.chr3.10089581.10089755	chr3	10089581	10089755	0	0
FANCD2.chr3.10091038.10091209	chr3	10091038	10091209	0	0
FANCD2.chr3.10094051.10094201	chr3	10094051	10094201	0	0
FANCD2.chr3.10101958.10102107	chr3	10101958	10102107	0	0
FANCD2.chr3.10103815.10103915	chr3	10103815	10103915	0	0
FANCD2.chr3.10105456.10105615	chr3	10105456	10105615	0	0
FANCD2.chr3.10106020.10106133	chr3	10106020	10106133	0	0
FANCD2.chr3.10106393.10106579	chr3	10106393	10106579	0	0
FANCD2.chr3.10107058.10107198	chr3	10107058	10107198	0	0
FANCD2.chr3.10107528.10107683	chr3	10107528	10107683	0	0
FANCD2.chr3.10108873.10109021	chr3	10108873	10109021	0	0
FANCD2.chr3.10114535.10114685	chr3	10114535	10114685	0	0
FANCD2.chr3.10114917.10115066	chr3	10114917	10115066	0	0
FANCD2.chr3.10116194.10116377	chr3	10116194	10116377	0	0
FANCD2.chr3.10119745.10119901	chr3	10119745	10119901	0	0
FANCD2.chr3.10122764.10122932	chr3	10122764	10122932	0	0
FANCD2.chr3.10123010.10123168	chr3	10123010	10123168	0	0
FANCD2.chr3.10127476.10127626	chr3	10127476	10127626	0	0
FANCD2.chr3.10128798.10128968	chr3	10128798	10128968	0	0
FANCD2.chr3.10130113.10130246	chr3	10130113	10130246	0	0
FANCD2.chr3.10130492.10130654	chr3	10130492	10130654	0	0
FANCD2.chr3.10131956.10132089	chr3	10131956	10132089	0	0
FANCD2.chr3.10133845.10133956	chr3	10133845	10133956	0	0
FANCD2.chr3.10134949.10135027	chr3	10134949	10135027	0	0
FANCD2.chr3.10135953.10136067	chr3	10135953	10136067	0	0
FANCD2.chr3.10136864.10136978	chr3	10136864	10136978	0	0
FANCD2.chr3.10137990.10138176	chr3	10137990	10138176	0	0
FANCD2.chr3.10140384.10140651	chr3	10140384	10140651	0	0
FANCD2.chr3.10142852.10142963	chr3	10142852	10142963	0	0
VHL.chr3.10183512.10183891	chr3	10183512	10183891	0	0
VHL.chr3.10188178.10188340	chr3	10188178	10188340	0	0
VHL.chr3.10191451.10191669	chr3	10191451	10191669	0	0
XPC.chr3.14187421.14187679	chr3	14187421	14187679	0	0
XPC.chr3.14188770.14188899	chr3	14188770	14188899	0	0
XPC.chr3.14189388.14189521	chr3	14189388	14189521	0	0
XPC.chr3.14190042.14190251	chr3	14190042	14190251	0	0
XPC.chr3.14190294.14190468	chr3	14190294	14190468	0	0
XPC.chr3.14193815.14193936	chr3	14193815	14193936	0	0
XPC.chr3.14197815.14198015	chr3	14197815	14198015	0	0
XPC.chr3.14199491.14200412	chr3	14199491	14200412	0	0
XPC.chr3.14201221.14201350	chr3	14201221	14201350	0	0
XPC.chr3.14206293.14206453	chr3	14206293	14206453	0	0
XPC.chr3.14206908.14207105	chr3	14206908	14207105	0	0
XPC.chr3.14208649.14208773	chr3	14208649	14208773	0	0
XPC.chr3.14209737.14209900	chr3	14209737	14209900	0	0
XPC.chr3.14211918.14212070	chr3	14211918	14212070	0	0
XPC.chr3.14214347.14214582	chr3	14214347	14214582	0	0
XPC.chr3.14219946.14220088	chr3	14219946	14220088	0	0
MLH1.chr3.37035019.37035174	chr3	37035019	37035174	0	0
MLH1.chr3.37038090.37038220	chr3	37038090	37038220	0	0
MLH1.chr3.37042426.37042564	chr3	37042426	37042564	0	0
MLH1.chr3.37045872.37045985	chr3	37045872	37045985	0	0
MLH1.chr3.37048462.37048574	chr3	37048462	37048574	0	0
MLH1.chr3.37050285.37050416	chr3	37050285	37050416	0	0
MLH1.chr3.37053291.37053373	chr3	37053291	37053373	0	0
MLH1.chr3.37053482.37053610	chr3	37053482	37053610	0	0
MLH1.chr3.37055903.37056055	chr3	37055903	37056055	0	0
MLH1.chr3.37058977.37059110	chr3	37058977	37059110	0	0
MLH1.chr3.37061781.37061974	chr3	37061781	37061974	0	0
MLH1.chr3.37067108.37067518	chr3	37067108	37067518	0	0
MLH1.chr3.37070255.37070443	chr3	37070255	37070443	0	0
MLH1.chr3.37081657.37081805	chr3	37081657	37081805	0	0
MLH1.chr3.37083739.37083842	chr3	37083739	37083842	0	0
MLH1.chr3.37088990.37089194	chr3	37088990	37089194	0	0
MLH1.chr3.37089988.37090120	chr3	37089988	37090120	0	0
MLH1.chr3.37090375.37090528	chr3	37090375	37090528	0	0
MLH1.chr3.37091957.37092164	chr3	37091957	37092164	0	0
BAP1.chr3.52436287.52436457	chr3	52436287	52436457	0	0
BAP1.chr3.52436598.52436710	chr3	52436598	52436710	0	0
BAP1.chr3.52436775.52436907	chr3	52436775	52436907	0	0
BAP1.chr3.52437134.52437334	chr3	52437134	52437334	0	0
BAP1.chr3.52437412.52437930	chr3	52437412	52437930	0	0
BAP1.chr3.52438449.52438622	chr3	52438449	52438622	0	0
BAP1.chr3.52439106.52439330	chr3	52439106	52439330	0	0
BAP1.chr3.52439761.52439948	chr3	52439761	52439948	0	0
BAP1.chr3.52440249.52440412	chr3	52440249	52440412	0	0
BAP1.chr3.52440825.52440943	chr3	52440825	52440943	0	0
BAP1.chr3.52441170.52441352	chr3	52441170	52441352	0	0
BAP1.chr3.52441395.52441496	chr3	52441395	52441496	0	0
BAP1.chr3.52441954.52442113	chr3	52441954	52442113	0	0
BAP1.chr3.52442470.52442642	chr3	52442470	52442642	0	0
BAP1.chr3.52443550.52443644	chr3	52443550	52443644	0	0
BAP1.chr3.52443710.52443779	chr3	52443710	52443779	0	0
BAP1.chr3.52443838.52443914	chr3	52443838	52443914	0	0
MITF.chr3.69788729.69788872	chr3	69788729	69788872	0	0
MITF.chr3.69812973.69813113	chr3	69812973	69813113	0	0
MITF.chr3.69915422.69915517	chr3	69915422	69915517	0	0
MITF.chr3.69928265.69928554	chr3	69928265	69928554	0	0
MITF.chr3.69985854.69985926	chr3	69985854	69985926	0	0
MITF.chr3.69986953.69987220	chr3	69986953	69987220	0	0
MITF.chr3.69987483.69987534	chr3	69987483	69987534	0	0
MITF.chr3.69988229.69988352	chr3	69988229	69988352	0	0
MITF.chr3.69990367.69990502	chr3	69990367	69990502	0	0
MITF.chr3.69998182.69998339	chr3	69998182	69998339	0	0
MITF.chr3.70000943.70001057	chr3	70000943	70001057	0	0
MITF.chr3.70005586.70005701	chr3	70005586	70005701	0	0
MITF.chr3.70008404.70008591	chr3	70008404	70008591	0	0
MITF.chr3.70013978.70014419	chr3	70013978	70014419	0	0
CASR.chr3.121973017.121973241	chr3	121973017	121973241	0	0
CASR.chr3.121975908.121976254	chr3	121975908	121976254	0	0
CASR.chr3.121980355.121981279	chr3	121980355	121981279	0	0
CASR.chr3.121994639.121994909	chr3	121994639	121994909	0	0
CASR.chr3.122000910.122001103	chr3	122000910	122001103	0	0
CASR.chr3.122002514.122004055	chr3	122002514	122004055	0	0
GATA2.chr3.128199845.128200181	chr3	128199845	128200181	0	0
GATA2.chr3.128200642.128200807	chr3	128200642	128200807	0	0
GATA2.chr3.128202683.128202868	chr3	128202683	128202868	0	0
GATA2.chr3.128204550.128205231	chr3	128204550	128205231	0	0
GATA2.chr3.128205626.128205894	chr3	128205626	128205894	0	0
PIK3CA.chr3.178916594.178916985	chr3	178916594	178916985	0	0
PIK3CA.chr3.178917458.178917707	chr3	178917458	178917707	0	0
PIK3CA.chr3.178919058.178919348	chr3	178919058	178919348	0	0
PIK3CA.chr3.178921312.178921597	chr3	178921312	178921597	0	0
PIK3CA.chr3.178922271.178922396	chr3	178922271	178922396	0	0
PIK3CA.chr3.178927363.178927508	chr3	178927363	178927508	0	0
PIK3CA.chr3.178927954.178928146	chr3	178927954	178928146	0	0
PIK3CA.chr3.178928199.178928373	chr3	178928199	178928373	0	0
PIK3CA.chr3.178935978.178936142	chr3	178935978	178936142	0	0
PIK3CA.chr3.178936964.178937085	chr3	178936964	178937085	0	0
PIK3CA.chr3.178937339.178937543	chr3	178937339	178937543	0	0
PIK3CA.chr3.178937717.178937860	chr3	178937717	178937860	0	0
PIK3CA.chr3.178938754.178938965	chr3	178938754	178938965	0	0
PIK3CA.chr3.178941849.178941995	chr3	178941849	178941995	0	0
PIK3CA.chr3.178942468.178942629	chr3	178942468	178942629	0	0
PIK3CA.chr3.178943730.178943848	chr3	178943730	178943848	0	0
PIK3CA.chr3.178947040.178947250	chr3	178947040	178947250	0	0
PIK3CA.chr3.178947772.178947929	chr3	178947772	178947929	0	0
PIK3CA.chr3.178947993.178948184	chr3	178947993	178948184	0	0
PIK3CA.chr3.178951862.178952169	chr3	178951862	178952169	0	0
PHOX2B.chr4.41747804.41748359	chr4	41747804	41748359	0	0
PHOX2B.chr4.41749346.41749573	chr4	41749346	41749573	0	0
PHOX2B.chr4.41750367.41750647	chr4	41750367	41750647	0	0
PDGFRA.chr4.55124916.55125004	chr4	55124916	55125004	0	0
PDGFRA.chr4.55127242.55127599	chr4	55127242	55127599	0	0
PDGFRA.chr4.55129814.55130114	chr4	55129814	55130114	0	0
PDGFRA.chr4.55131066.55131236	chr4	55131066	55131236	0	0
PDGFRA.chr4.55133436.55133647	chr4	55133436	55133647	0	0
PDGFRA.chr4.55133699.55133928	chr4	55133699	55133928	0	0
PDGFRA.chr4.55136780.55136935	chr4	55136780	55136935	0	0
PDGFRA.chr4.55138541.55138707	chr4	55138541	55138707	0	0
PDGFRA.chr4.55139684.55139917	chr4	55139684	55139917	0	0
PDGFRA.chr4.55140678.55140812	chr4	55140678	55140812	0	0
PDGFRA.chr4.55140988.55141160	chr4	55140988	55141160	0	0
PDGFRA.chr4.55143535.55143679	chr4	55143535	55143679	0	0
PDGFRA.chr4.55144043.55144193	chr4	55144043	55144193	0	0
PDGFRA.chr4.55144509.55144702	chr4	55144509	55144702	0	0
PDGFRA.chr4.55146463.55146669	chr4	55146463	55146669	0	0
PDGFRA.chr4.55151518.55151673	chr4	55151518	55151673	0	0
PDGFRA.chr4.55151988.55152150	chr4	55151988	55152150	0	0
PDGFRA.chr4.55153577.55153728	chr4	55153577	55153728	0	0
PDGFRA.chr4.55154946.55155085	chr4	55154946	55155085	0	0
PDGFRA.chr4.55155156.55155301	chr4	55155156	55155301	0	0
PDGFRA.chr4.55156460.55156741	chr4	55156460	55156741	0	0
PDGFRA.chr4.55161272.55161459	chr4	55161272	55161459	0	0
KIT.chr4.55524162.55524268	chr4	55524162	55524268	0	0
KIT.chr4.55561658.55561967	chr4	55561658	55561967	0	0
KIT.chr4.55564430.55564751	chr4	55564430	55564751	0	0
KIT.chr4.55565776.55565952	chr4	55565776	55565952	0	0
KIT.chr4.55569870.55570078	chr4	55569870	55570078	0	0
KIT.chr4.55573244.55573473	chr4	55573244	55573473	0	0
KIT.chr4.55575570.55575725	chr4	55575570	55575725	0	0
KIT.chr4.55589730.55589884	chr4	55589730	55589884	0	0
KIT.chr4.55592003.55592236	chr4	55592003	55592236	0	0
KIT.chr4.55593364.55593510	chr4	55593364	55593510	0	0
KIT.chr4.55593562.55593728	chr4	55593562	55593728	0	0
KIT.chr4.55593969.55594113	chr4	55593969	55594113	0	0
KIT.chr4.55594157.55594307	chr4	55594157	55594307	0	0
KIT.chr4.55595481.55595671	chr4	55595481	55595671	0	0
KIT.chr4.55597474.55597605	chr4	55597474	55597605	0	0
KIT.chr4.55598017.55598184	chr4	55598017	55598184	0	0
KIT.chr4.55599216.55599378	chr4	55599216	55599378	0	0
KIT.chr4.55602644.55602795	chr4	55602644	55602795	0	0
KIT.chr4.55602867.55603006	chr4	55602867	55603006	0	0
KIT.chr4.55603321.55603466	chr4	55603321	55603466	0	0
